name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s,distance_ly,spectral_class
Acrux,12,26,35.9,-63,5,56.7,320,B
Mimosa,12,47,43.3,-59,41,19.6,350,B
Gacrux,12,31,9.9,-57,6,47.6,88,M
Delta Crucis,12,15,8.7,-58,44,56.1,345,B
Epsilon Crucis,12,21,21.6,-60,24,35,228,K
