name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s,distance_ly,spectral_class
Betelgeuse,5,55,10.3,7,24,25.3,643,M
Rigel,5,14,32.3,-8,12,5.9,773,B
Bellatrix,5,25,7.9,6,20,59.0,243,B
Saiph,5,47,45.4,-9,40,10.6,650,B
Mintaka,5,32,0.4,-0,17,56.7,916,B
Alnilam,5,36,12.8,-1,12,6.9,1342,B
Alnitak,5,40,45.5,-1,56,33.3,817,O
