star1,star2
Betelgeuse,Bellatrix
Betelgeuse,Mintaka
Rigel,Saiph
Rigel,Mintaka
Saiph,Alnilam
Mintaka,Alnilam
Alnilam,Alnitak
Bellatrix,Mintaka
